,Location,Cood
751,叶子坝,"104.708549,32.841457"
752,潘集寨,[]
753,刘川,"115.380272,34.444386"
754,三河,"116.817363,40.013125"
755,东白,"120.372620,40.210255"
756,中村,[]
757,锡铁山,[]
758,王官,"122.567001,39.719456"
759,席东村,"105.534904,34.642288"
760,县功,"107.078552,34.524418"
761,玉门镇,"97.027071,40.280887"
762,屯子,"123.789253,40.881687"
763,白云,"106.633750,26.682375"
764,成县机场,[]
765,自坪,[]
766,开发区,"105.204857,37.514206"
767,(平泉）西安,[]
768,罗家堡,"126.176514,42.172878"
769,青铜峡,"106.078818,38.021302"
770,店镇,"118.552750,24.860012"
771,野糜,"104.850471,36.401222"
772,窑街,"112.151970,34.990677"
773,成州机场,"120.800613,29.085855"
774,咀头,"109.372551,36.033024"
775,小川,"126.725525,43.885967"
776,桂花,"117.516365,23.734993"
777,笠山,"105.041229,36.382812"
778,茨滩,"105.654892,37.476940"
779,上肖,"121.655273,41.433037"
780,关沟门,"118.405342,43.058849"
781,杏树湾,"106.853416,34.238106"
782,高沟口,"109.129356,36.844063"
783,小金湾,[]
784,木寨岭,"116.615547,36.625557"
785,吴集寨,"105.561913,34.447990"
786,板桥古城,"100.488739,26.551105"
787,曲子,"104.537682,36.315819"
788,酒泉丰乐,"98.494483,39.732410"
789,清泉,"120.602638,28.008535"
790,汪集,"116.169701,32.434669"
791,安昌河,"104.688942,31.451845"
792,礼辛,"105.086174,34.912197"
793,丁家川,"105.723259,34.322903"
794,鸭暖,"100.238335,39.273102"
795,扁都口,[]
796,兰州南站,[]
797,牙龙,"97.836906,32.806911"
798,叶堡,"120.146408,32.977688"
799,指南牌,"102.747444,36.727882"
800,角弓,"104.648773,33.561440"
801,九下村,"96.616348,40.518532"
802,音凹峡,"96.884804,41.130985"
803,良平,"108.091667,35.443245"
804,新华庄,[]
805,布隆吉乡,"96.543938,40.531868"
806,九百户,"117.533127,40.013954"
807,大芦子,"104.819130,36.346321"
808,漫洼,"104.253471,35.454521"
809,塔儿湾,"102.302963,37.533527"
810,肖庄,"116.799194,33.413113"
811,双岘,"105.698524,35.330933"
812,花海,"119.941757,31.708765"
813,和尚铺,"106.246986,35.676125"
814,张掖东,"100.449818,38.925875"
815,曹务,"117.457535,37.065407"
816,棋盘井,"106.946236,27.471621"
817,上良,"113.031502,36.675468"
818,临洮高速,[]
819,友好,[]
820,湫头,"108.586250,37.151371"
821,打拉池,[]
822,南义,"118.190102,31.626461"
823,桥湾,"117.245728,36.329136"
824,刘沟,"103.418365,30.492380"
825,张家庄,"116.974831,36.712967"
826,小岘,"105.061394,35.170670"
827,三房吴,"105.154121,36.016853"
828,花庄,"115.469513,38.924576"
829,元城,"107.767441,36.675262"
